dataset,condition,certificate,lower,upper,heldout,policy_action,oracle_action,observed_decision_regret,interval_width,eps0_regret_cap
COCO,MAE+BGE,HELP,-10.957647585087562,-6.822182724433843,-8.262128172557468,STRUCTURE,STRUCTURE,0.0,4.135464860653719,4.135464860653719
COCO,MAE+Snowflake,HELP,-11.08962562186182,-7.073998811066705,-8.368783681741451,STRUCTURE,STRUCTURE,0.0,4.015626810795116,4.015626810795116
COCO,MAE+GTR-T5,HELP,-10.713533423272786,-6.74245805572963,-8.588381322361807,STRUCTURE,STRUCTURE,0.0,3.971075367543156,3.971075367543156
COCO,BEiT+BGE,HELP,-15.39848093233565,-10.372181593816224,-14.243334193049597,STRUCTURE,STRUCTURE,0.0,5.026299338519426,5.026299338519426
COCO,BEiT+Snowflake,HELP,-15.563601857717943,-10.314981485766532,-15.388356860507304,STRUCTURE,STRUCTURE,0.0,5.248620371951411,5.248620371951411
COCO,BEiT+GTR-T5,HELP,-14.891439326406669,-10.160797956153672,-13.816673973638427,STRUCTURE,STRUCTURE,0.0,4.730641370252997,4.730641370252997
Flickr30k,ConvNeXtV2+MSMARCO,HELP,-71.07311614765595,-17.549591770030574,-39.56447786031789,STRUCTURE,STRUCTURE,0.0,53.52352437762538,53.52352437762538
Flickr30k,ConvNeXtV2+MiniLM,HELP,-67.28987010589626,-16.321952199433895,-36.5379299074296,STRUCTURE,STRUCTURE,0.0,50.96791790646236,50.96791790646236
Flickr30k,ResNet50+DistilRoBERTa,UNCERTAIN,-7.534838932476873,11.479257727385209,1.9279283636812348,PAIRED_ONLY,PAIRED_ONLY,0.0,19.014096659862084,19.014096659862084
Flickr30k,ResNet50+MiniLM,UNCERTAIN,-7.964253751975933,11.176846991300472,1.567353896672464,PAIRED_ONLY,PAIRED_ONLY,0.0,19.141100743276404,19.141100743276404
Flickr30k,ResNet50+MSMARCO,HELP,-0.027905144018446338,-0.017658403527771753,-0.020894202441223385,STRUCTURE,STRUCTURE,0.0,0.010246740490674585,0.010246740490674585
Flickr30k,SwinV2+DistilRoBERTa,HELP,-0.0277689788616435,-0.01940500382345175,-0.024575681335267725,STRUCTURE,STRUCTURE,0.0,0.008363975038191751,0.008363975038191751
